time,surv
0.139680953,1.000821038
0.501579103,1.000832888
0.863477253,1.000844738
1.225375404,1.000856588
1.587273554,1.000868438
1.949171704,1.000880288
2.311069855,0.999491866
2.672968005,0.9898574
3.034866155,0.981778791
3.999927889,0.95823915
4.36182604,0.946115312
4.72372419,0.937958911
5.08562234,0.924434801
5.44752049,0.916278399
5.809418641,0.905554832
6.141158612,0.892636519
6.472898583,0.882238696
6.834796733,0.875249187
7.166536704,0.857943356
7.468118496,0.840029753
7.799858467,0.826971413
8.131598438,0.817367076
8.403022051,0.800152622
8.704603843,0.781958964
9.066501993,0.771702155
9.307767427,0.76237491
9.398241965,0.741140419
9.669665577,0.725746317
10.00140555,0.716888792
10.33314552,0.70079653
10.63472731,0.688554027
10.9363091,0.673977739
11.2378909,0.66616943
11.44899815,0.639641194
11.75057994,0.623407917
12.02200355,0.610884372
12.20295263,0.591986629
12.44421806,0.580208909
12.80611621,0.575553186
13.13785618,0.558760788
13.46959616,0.545235691
13.80133613,0.531617242
14.10291792,0.519024672
14.37434153,0.493688641
14.73623968,0.486699133
15.03782147,0.481457989
15.27908691,0.462912288
15.5806687,0.451019854
15.86070893,0.430425025
16.24414864,0.424436416
16.54573043,0.417094865
16.84731222,0.402751955
17.20921038,0.40019664
17.57110853,0.395540917
17.93300668,0.389251545
18.29490483,0.383195551
18.65680298,0.376672799
19.01870113,0.368983155
19.3504411,0.364046391
19.68218107,0.348934319
20.04407922,0.339144267
20.40597737,0.333788408
20.73771734,0.321243501
21.06945731,0.304171049
21.43135546,0.297648297
21.79325361,0.288091624
22.15515176,0.287403338
22.51704991,0.285781538
22.87894806,0.279492165
23.24084621,0.273436171
23.60274436,0.273448021
23.96464251,0.273459871
24.32654066,0.271371313
24.68843881,0.270449649
25.05033696,0.259726082
25.41223512,0.247135487
25.77413327,0.244113415
26.13603142,0.237357285
26.49792957,0.234335213
26.85982772,0.231546519
27.22172587,0.228757826
27.58362402,0.223635346
27.94552217,0.217345973
28.30742032,0.21619093
28.60900211,0.215150601
29.87564564,0.208307407
30.23754379,0.2078525
30.59944194,0.201796506
30.96134009,0.199474569
31.32323824,0.198086148
31.68513639,0.192496911
32.04703454,0.185274024
32.40893269,0.181318437
32.77083084,0.181330287
33.13272899,0.181342137
33.49462714,0.181353987
33.85652529,0.171797314
34.21842344,0.168541863
34.58032159,0.162485869
34.94221974,0.157363389
35.84696512,0.141289889
36.20886327,0.133600245
36.57076142,0.130111416
36.93265957,0.12265515
37.29455772,0.122667
37.65645587,0.12267885
38.01835402,0.1226907
38.38025217,0.12270255
38.74215032,0.1227144
39.10404847,0.118292056
39.46594662,0.117137013
39.82784477,0.117148863
40.18974292,0.117160713
40.55164107,0.116239048
40.91353922,0.109016161
41.27543737,0.107394361
41.63733552,0.106005939
41.99923367,0.106017789
42.36113182,0.106029639
42.72302997,0.106041489
43.08492812,0.103719553
43.44682627,0.097663559
43.80872442,0.096975273
44.01983168,0.092081234
44.65315344,0.086034127
45.01505159,0.081845162
45.37694974,0.080923498
45.73884789,0.080935348
46.10074604,0.080947198
46.46264419,0.080959048
46.82454234,0.080970898
47.18644049,0.079582476
47.54833864,0.072592967
47.91023679,0.072604817
48.27213494,0.072616667
48.63403309,0.072628517
48.99593124,0.072640367
49.35782939,0.072652217
49.71972754,0.072664067
50.08162569,0.072675917
50.44352384,0.072687767
50.80542199,0.072699617
51.16732014,0.072711467
51.5292183,0.072723317
51.89111645,0.07226841
52.2530146,0.062244979
52.61491275,0.05875615
28.94217207,0.209217166
29.40761636,0.209232406
35.24682652,0.150484509
35.54301834,0.150494207
44.34414669,0.089878658
11.38222849,0.652650043
3.385049365,0.97262394
3.638928068,0.96280907
